conf,ses,clave,lado,t,tent,ent,stop,rgo,obj,gano,rgoP,cpc,Rb,Rn
C2,londres,hi,-1,2020-01-22 12:00:00,2020-01-22 11:00:00,1.10858,1.10947,0.0008900000000000574,1.1067999999999998,0,8.900000000000574,16.06741573033604,-1.0,-1.1606741573033603
C1,londres,hi,-1,2020-01-22 12:00:00,2020-01-22 11:00:00,1.10867,1.10879,0.00011999999999989797,1.1084300000000002,0,1.1999999999989797,119.166666666768,-1.0,-2.19166666666768
C2,londres,hi,-1,2020-01-22 12:10:00,2020-01-22 11:10:00,1.10847,1.10879,0.00031999999999987594,1.1078300000000003,1,3.1999999999987594,44.68750000001732,2.0,1.553124999999827
C1,londres,hi,-1,2020-01-22 12:05:00,2020-01-22 11:05:00,1.10852,1.10875,0.00022999999999995246,1.10806,0,2.2999999999995246,62.17391304349111,-1.0,-1.6217391304349111
C2,londres,hi,-1,2020-01-22 12:10:00,2020-01-22 11:10:00,1.10851,1.10875,0.00023999999999979593,1.1080300000000005,1,2.3999999999979593,59.583333333384,2.0,1.40416666666616
C1,londres,lo,1,2020-01-22 08:25:00,2020-01-22 07:25:00,1.10791,1.10753,0.00038000000000004697,1.10867,0,3.8000000000004697,37.63157894736377,-1.0,-1.3763157894736378
C2,londres,lo,1,2020-01-22 08:35:00,2020-01-22 07:35:00,1.10798,1.10753,0.00045000000000006146,1.10888,0,4.500000000000615,31.777777777773437,-1.0,-1.3177777777777344
C1,londres,lo,1,2020-01-22 09:15:00,2020-01-22 08:15:00,1.10783,1.1077,0.00013000000000018552,1.1080900000000005,0,1.3000000000018552,109.99999999984301,-1.0,-2.0999999999984302
C2,londres,lo,1,2020-01-22 09:20:00,2020-01-22 08:20:00,1.10792,1.1077,0.000220000000000109,1.1083600000000002,0,2.20000000000109,64.9999999999678,-1.0,-1.649999999999678
C1,londres,lo,1,2020-01-22 09:25:00,2020-01-22 08:25:00,1.1078,1.10769,0.00010999999999983245,1.1080199999999996,0,1.0999999999983245,130.000000000198,-1.0,-2.30000000000198
C2,londres,lo,1,2020-01-22 09:50:00,2020-01-22 08:50:00,1.10789,1.10769,0.00019999999999997797,1.10829,0,1.9999999999997797,71.50000000000787,-1.0,-1.7150000000000787
C1,londres,lo,1,2020-01-22 09:30:00,2020-01-22 08:30:00,1.10774,1.10771,2.999999999997449e-05,1.1078,1,0.2999999999997449,476.666666667072,2.0,-2.7666666666707194
C2,londres,lo,1,2020-01-22 09:50:00,2020-01-22 08:50:00,1.10799,1.10771,0.000280000000000058,1.1085500000000001,0,2.80000000000058,51.071428571418,-1.0,-1.51071428571418
C1,londres,lo,1,2020-01-22 09:45:00,2020-01-22 08:45:00,1.10779,1.10749,0.00029999999999996696,1.10839,1,2.9999999999996696,47.666666666671915,2.0,1.5233333333332808
C2,londres,lo,1,2020-01-22 09:50:00,2020-01-22 08:50:00,1.10779,1.10749,0.00029999999999996696,1.10839,1,2.9999999999996696,47.666666666671915,2.0,1.5233333333332808
C1,londres,lo,1,2020-01-22 09:50:00,2020-01-22 08:50:00,1.1081,1.10766,0.00043999999999999595,1.10898,0,4.3999999999999595,32.5000000000003,-1.0,-1.3250000000000028
